tagName;className;locationX;locationY;isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;shop-delivery-action js-shop-delivery;1033;5105;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;5131;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;5158;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;5259;True;False;False;True;False;toshiba 55t6863dg
em;;498;5290;False;False;False;True;False;(74 opinie)
a;;567;5292;True;False;False;False;False;telewizor led
a;product-brand;642;5292;True;False;False;False;False;toshiba
a;energy-card js-energy-card;786;5322;True;False;False;False;False;karta produktu
a;js-dictionary;679;5425;True;False;False;False;False;ekran
span;attribute-value;715;5425;False;False;False;True;False;55 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;5445;True;False;False;False;False;smart tv
span;attribute-value;732;5445;False;False;False;False;False;tak
a;js-dictionary;679;5465;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;5465;False;False;False;True;False;50 hz
span;attribute-name;679;5485;False;False;False;False;False;funkcje
a;fancydict;726;5485;True;False;False;False;False;hdr
a;fancydict;757;5485;True;False;False;False;False;smart
a;fancydict;794;5485;True;False;False;False;False;wi-fi
a;fancydict;829;5485;True;False;False;False;False;usb - multimedia
a;fancydict;679;5485;True;False;False;False;False;usb - nagrywanie
a;fancydict;745;5500;True;False;False;False;False;bluetooth
a;fancydict;805;5500;True;False;False;True;False;hdmi x3
a;fancydict;858;5500;True;False;False;True;False;usb x2
div;name;695;5542;False;False;False;False;False;ekran:
div;value;740;5542;False;False;False;True;False;55 cali
a;variant-itemjs-variant-item variant-one;685;5576;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;5613;True;False;False;False;False;
a;variant-itemjs-variant-item active-item variant-one;685;5650;True;False;False;False;False;
a;depositories-button js-depositories;627;5727;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;5726;True;False;False;False;False;zadzwoń i zamów
span;tab-price;1151;5261;False;True;False;True;True;od  1 522 zł
div;price-normal selenium-price-normal;1033;5385;False;True;False;True;True;1 599 zł
div;price-old;1101;5440;False;True;False;True;True;1 719 zł
strong;;1166;5460;False;False;False;True;False;tydziencud175
span;price-instalments-label;1072;5507;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;5507;True;True;True;True;True;34,38 zł x 50 rat 0%
a;;1033;5612;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;5637;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;5663;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;5690;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;5782;True;False;False;True;False;samsung qled qe43q60rat
em;;498;5813;False;False;False;True;False;(12 opinii)
a;;564;5815;True;False;False;False;False;telewizor qled
a;product-brand;649;5815;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;5845;True;False;False;False;False;karta produktu
a;js-dictionary;679;5948;True;False;False;False;False;ekran
span;attribute-value;715;5948;False;False;False;True;False;43 cale, 4k uhd, 3840 x 2160
a;js-dictionary;679;5968;True;False;False;False;False;smart tv
span;attribute-value;732;5968;False;False;False;False;False;tak
span;attribute-name;679;5988;False;False;False;False;False;funkcje
a;fancydict;726;5988;True;False;False;False;False;hdr
a;fancydict;757;5988;True;False;False;False;False;smart
a;fancydict;794;5988;True;False;False;False;False;wi-fi
a;fancydict;829;5988;True;False;False;False;False;dlna
a;fancydict;867;5988;True;False;False;False;False;usb - multimedia
a;fancydict;679;5988;True;False;False;False;False;usb - nagrywanie
a;fancydict;745;6003;True;False;False;False;False;bluetooth
a;fancydict;805;6003;True;False;False;False;False;obsługa głosowa
a;fancydict;898;6003;True;False;False;True;False;hdmi x4
a;fancydict;951;6003;True;False;False;True;False;usb x2
div;name;695;6045;False;False;False;False;False;ekran:
div;value;740;6045;False;False;False;True;False;43 cale
a;variant-itemjs-variant-item active-item variant-one;685;6079;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;6116;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;6153;True;False;False;False;False;
a;depositories-button js-depositories;627;6082;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;6081;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;5773;False;True;False;True;True;3 199 zł
span;price-instalments-label;1072;5843;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;5843;True;True;True;True;True;63,98 zł x 50 rat 0%
a;;1033;5948;True;False;False;False;False;darmowy transport
